idCredito,total_attempts,total_successes,total_failures,total_amount_paid,total_amount_due,success_rate,repayment_ratio
677326,25,0,25,37122.25,37122.25,0.0,1.0
487570,2,0,2,544.74,544.74,0.0,1.0
581744,1,0,1,682.27,682.27,0.0,1.0
487713,1,0,1,658.66,658.66,0.0,1.0
581750,2,0,2,927.38,927.38,0.0,1.0
581755,1,0,1,236.0,236.0,0.0,1.0
487665,4,0,4,1112.68,1112.68,0.0,1.0
678944,1,0,1,1308.51,1308.51,0.0,1.0
638013,7,0,7,6128.360000000001,6128.360000000001,0.0,1.0
678970,1,0,1,393.93,393.93,0.0,1.0
736520,10,0,10,11904.5,11904.5,0.0,1.0
736521,11,0,11,19315.89,19315.89,0.0,1.0
658967,15,0,15,21357.899999999998,21357.899999999998,0.0,1.0
679005,1,0,1,1622.44,1622.44,0.0,1.0
719837,18,0,18,16225.38,16225.38,0.0,1.0
711374,16,0,16,15999.04,15999.04,0.0,1.0
711349,1,0,1,2392.91,2392.91,0.0,1.0
407588,4,0,4,4292.68,4292.68,0.0,1.0
711335,1,0,1,2056.66,2056.66,0.0,1.0
637981,1,0,1,608.54,608.54,0.0,1.0
736545,1,0,1,361.62,361.62,0.0,1.0
736553,11,0,11,12169.08,12169.08,0.0,1.0
736560,10,0,10,2502.9,2502.9,0.0,1.0
581829,1,0,1,465.64,465.64,0.0,1.0
736565,10,0,10,23998.600000000002,23998.600000000002,0.0,1.0
581848,5,0,5,4172.5,4172.5,0.0,1.0
637972,1,0,1,338.99,338.99,0.0,1.0
679027,36,0,36,25433.28,25433.28,0.0,1.0
638026,1,0,1,201.67,201.67,0.0,1.0
724933,15,0,15,9556.050000000001,9556.050000000001,0.0,1.0
581877,1,0,1,1355.33,1355.33,0.0,1.0
711432,1,0,1,573.49,573.49,0.0,1.0
581443,2,0,2,906.78,906.78,0.0,1.0
736390,5,0,5,4461.4,4461.4,0.0,1.0
659020,36,0,36,66348.0,66348.0,0.0,1.0
581508,4,0,4,5218.4,5218.4,0.0,1.0
678820,25,0,25,21204.25,21204.25,0.0,1.0
487855,2,0,2,155.78,155.78,0.0,1.0
638097,1,0,1,382.33,382.33,0.0,1.0
638086,1,0,1,1000.01,1000.01,0.0,1.0
678829,11,0,11,41023.95,41023.95,0.0,1.0
736443,10,0,10,3194.2000000000003,3194.2000000000003,0.0,1.0
638084,4,0,4,1875.24,1875.24,0.0,1.0
736450,11,0,11,11010.119999999999,11010.119999999999,0.0,1.0
719816,18,0,18,14855.76,14855.76,0.0,1.0
581680,1,0,1,1437.68,1437.68,0.0,1.0
638071,1,0,1,156.7,156.7,0.0,1.0
711417,1,0,1,1622.41,1622.41,0.0,1.0
736461,1,0,1,278.17,278.17,0.0,1.0
711411,21,0,21,65795.09999999999,65795.09999999999,0.0,1.0
658976,2,0,2,3673.3,3673.3,0.0,1.0
638058,1,0,1,608.54,608.54,0.0,1.0
638056,1,0,1,819.97,819.97,0.0,1.0
736470,1,0,1,183.14,183.14,0.0,1.0
638055,2,0,2,556.32,556.32,0.0,1.0
678887,1,0,1,1356.03,1356.03,0.0,1.0
638054,23,0,23,20992.28,20992.28,0.0,1.0
638049,1,0,1,300.01,300.01,0.0,1.0
658958,1,0,1,452.09,452.09,0.0,1.0
637959,1,0,1,584.01,584.01,0.0,1.0
581423,1,0,1,1231.84,1231.84,0.0,1.0
637837,1,0,1,561.9,561.9,0.0,1.0
582163,1,0,1,264.18,264.18,0.0,1.0
582168,2,0,2,970.02,970.02,0.0,1.0
582173,2,0,2,5952.76,5952.76,0.0,1.0
736693,2,0,2,1599.98,1599.98,0.0,1.0
582174,10,0,10,1408.0,1408.0,0.0,1.0
