"idListaCobro","fechaCreacionLista","idBanco","fechaEnvioCobro"
79678,"04/01/2022 11:16AM","12","04/01/2022"
79746,"04/01/2022 6:36PM","12","04/01/2022"
80111,"11/01/2022 2:51PM","12","11/01/2022"
80314,"13/01/2022 11:44AM","12","13/01/2022"
80507,"14/01/2022 6:09PM","12","14/01/2022"
80584,"17/01/2022 11:30AM","12","17/01/2022"
80941,"20/01/2022 4:24PM","12","20/01/2022"
81214,"26/01/2022 10:21AM","12","26/01/2022"
81271,"26/01/2022 4:21PM","12","26/01/2022"
81430,"27/01/2022 4:59PM","12","27/01/2022"
81734,"31/01/2022 1:02PM","12","31/01/2022"
81797,"31/01/2022 6:08PM","12","31/01/2022"
82186,"04/02/2022 5:03AM","72","04/02/2022"
82259,"08/02/2022 1:23PM","72","08/02/2022"
82260,"08/02/2022 1:35PM","12","08/02/2022"
82261,"08/02/2022 1:38PM","14","08/02/2022"
82262,"08/02/2022 1:38PM","14","08/02/2022"
82263,"08/02/2022 1:39PM","2","08/02/2022"
82311,"09/02/2022 8:53AM","12","09/02/2022"
82336,"09/02/2022 2:13PM","12","09/02/2022"
82429,"09/02/2022 4:35PM","12","09/02/2022"
82579,"10/02/2022 12:42PM","12","10/02/2022"
82587,"10/02/2022 1:27PM","12","10/02/2022"
82647,"10/02/2022 6:28PM","12","10/02/2022"
82994,"14/02/2022 5:55PM","12","14/02/2022"
83606,"22/02/2022 1:22PM","12","22/02/2022"
83677,"23/02/2022 12:45PM","12","23/02/2022"
83693,"23/02/2022 2:09PM","12","23/02/2022"
83727,"23/02/2022 5:11PM","12","23/02/2022"
83855,"24/02/2022 2:43PM","12","24/02/2022"
84147,"28/02/2022 1:30PM","12","28/02/2022"
84192,"28/02/2022 6:40PM","12","28/02/2022"
84602,"04/03/2022 2:27PM","2","04/03/2022"
84705,"08/03/2022 2:01PM","72","08/03/2022"
84743,"09/03/2022 8:34AM","2","09/03/2022"
84770,"09/03/2022 2:33PM","2","09/03/2022"
84772,"09/03/2022 4:29PM","12","09/03/2022"
84822,"10/03/2022 7:52AM","2","10/03/2022"
84823,"10/03/2022 7:54AM","2","10/03/2022"
84847,"10/03/2022 11:18AM","2","10/03/2022"
84875,"10/03/2022 2:31PM","2","10/03/2022"
84876,"10/03/2022 2:33PM","2","10/03/2022"
84933,"11/03/2022 8:08AM","2","11/03/2022"
84934,"11/03/2022 8:09AM","2","11/03/2022"
84952,"11/03/2022 10:20AM","12","11/03/2022"
84967,"11/03/2022 10:51AM","12","11/03/2022"
84990,"11/03/2022 12:16PM","2","11/03/2022"
84999,"11/03/2022 12:33PM","2","11/03/2022"
85021,"11/03/2022 2:18PM","2","11/03/2022"
85025,"11/03/2022 2:27PM","2","11/03/2022"
85118,"14/03/2022 8:23AM","2","14/03/2022"
85120,"14/03/2022 8:28AM","2","14/03/2022"
85141,"14/03/2022 10:10AM","12","14/03/2022"
85756,"23/03/2022 2:54PM","12","23/03/2022"
85757,"23/03/2022 2:54PM","72","23/03/2022"
85758,"23/03/2022 2:54PM","14","23/03/2022"
85759,"23/03/2022 2:54PM","2","23/03/2022"
