"idListaCobro","idEmisora"
79678,20
80111,20
80584,20
80941,19
81214,20
81734,20
82311,62
82336,20
82429,20
82579,20
82260,19
83606,20
83677,20
83693,20
83855,20
84192,20
84602,23
84743,78
84847,78
84876,78
84933,78
84934,78
84952,20
84770,78
84990,78
85021,78
85118,78
85141,20
85756,19
85757,25
85758,21
85759,23
85819,25
85820,19
85821,23
86016,20
86024,20
86080,20
86089,20
79746,20
84875,78
85120,78
86387,68
82186,16
86400,68
87408,20
80314,20
80507,20
81271,20
81797,20
82259,25
82261,21
82262,68
82263,23
83727,20
84705,75
85839,24
86601,68
87458,21
88027,36
88028,34
88050,78
82587,20
82994,20
84147,20
84822,78
84823,78
84999,78
86469,68
87450,23
87451,25
87454,20
88191,20
88219,20
88315,20
88424,20
82647,20
84772,20
84967,20
85815,20
86204,78
87083,20
88359,34
88619,34
88762,34
88768,25
88769,21
88810,78
88986,78
87659,34
87932,45
88022,16
89029,20
89031,20
89110,20
89129,20
89726,78
89850,78
86439,68
86602,68
87076,20
88201,1
88227,20
88485,34
89951,78
90250,20
90258,20
90644,78
85025,78
85823,25
85824,19
85825,23
85831,23
85834,25
87119,20
87872,25
87873,21
87878,21
87915,78
88040,78
88188,23
88770,21
88772,78
88942,78
90727,78
90927,78
91595,78
91650,78
91748,78
86519,68
86520,68
86628,24
88268,34
89206,20
89772,78
90590,78
92115,68
92457,78
92542,78
92699,78
92765,20
81430,20
87862,34
87875,78
88078,78
88902,78
90759,78
90841,78
93991,20
94703,20
95131,20
95146,78
95189,78
95624,78
96104,78
96198,78
96257,78
96281,20
96436,78
97236,78
98461,78
98471,78
98482,78
98576,78
98642,78
98676,20
98685,20
98958,20
98972,68
94657,20
94999,78
95065,78
96221,20
97279,78
97571,20
98460,78
98732,20
99101,68
99527,78
99568,78
99612,78
99652,78
99661,78
99675,36
99726,36
99727,36
99736,36
99755,20
99787,36
99844,20
99971,20
100025,51
100027,68
100028,75
100029,78
100185,51
100187,75
100188,68
100201,78
94048,20
94184,78
94223,78
94224,78
94521,68
97333,78
98509,78
98510,78
98630,78
98841,20
98875,20
99668,78
100073,51
100074,78
100136,20
100206,36
100215,62
100262,51
100317,51
100320,78
100369,20
100409,51
100424,78
100465,51
100474,78
100527,51
100558,20
100613,51
100631,36
100693,51
